ENTIDAD,NOM_ENT,MUN,NOM_MUN,POBTOT
1,Aguascalientes,1,Aguascalientes,948990
1,Aguascalientes,2,Asientos,51536
1,Aguascalientes,3,Calvillo,58250
1,Aguascalientes,4,Cosío,17000
1,Aguascalientes,5,Jesús María,129929
1,Aguascalientes,6,Pabellón de Arteaga,47646
1,Aguascalientes,7,Rincón de Romos,57369
1,Aguascalientes,8,San José de Gracia,9552
1,Aguascalientes,9,Tepezalá,22485
1,Aguascalientes,10,El Llano,20853
1,Aguascalientes,11,San Francisco de los Romo,61997
2,Baja California,1,Ensenada,443807
2,Baja California,2,Mexicali,1049792
2,Baja California,3,Tecate,108440
2,Baja California,4,Tijuana,1922523
2,Baja California,5,Playas de Rosarito,126890
2,Baja California,6,San Quintín,117568
3,Baja California Sur,1,Comondú,73021
3,Baja California Sur,2,Mulegé,64022
3,Baja California Sur,3,La Paz,292241
3,Baja California Sur,8,Los Cabos,351111
3,Baja California Sur,9,Loreto,18052
4,Campeche,1,Calkiní,59232
4,Campeche,2,Campeche,294077
4,Campeche,3,Carmen,248845
4,Campeche,4,Champotón,78170
4,Campeche,5,Hecelchakán,31917
4,Campeche,6,Hopelchén,42140
4,Campeche,7,Palizada,8683
4,Campeche,8,Tenabo,11452
4,Campeche,9,Escárcega,59923
4,Campeche,10,Calakmul,31714
4,Campeche,11,Candelaria,46913
4,Campeche,12,Seybaplaya,15297
5,Coahuila de Zaragoza,1,Abasolo,1022
5,Coahuila de Zaragoza,2,Acuña,163058
5,Coahuila de Zaragoza,3,Allende,23056
5,Coahuila de Zaragoza,4,Arteaga,29578
5,Coahuila de Zaragoza,5,Candela,1643
5,Coahuila de Zaragoza,6,Castaños,29128
5,Coahuila de Zaragoza,7,Cuatro Ciénegas,12715
5,Coahuila de Zaragoza,8,Escobedo,3047
5,Coahuila de Zaragoza,9,Francisco I. Madero,59035
5,Coahuila de Zaragoza,10,Frontera,82409
5,Coahuila de Zaragoza,11,General Cepeda,11898
5,Coahuila de Zaragoza,12,Guerrero,1643
5,Coahuila de Zaragoza,13,Hidalgo,1735
5,Coahuila de Zaragoza,14,Jiménez,9502
5,Coahuila de Zaragoza,15,Juárez,1584
5,Coahuila de Zaragoza,16,Lamadrid,1764
5,Coahuila de Zaragoza,17,Matamoros,118337
5,Coahuila de Zaragoza,18,Monclova,237951
5,Coahuila de Zaragoza,19,Morelos,7928
5,Coahuila de Zaragoza,20,Múzquiz,71627
5,Coahuila de Zaragoza,21,Nadadores,6539
5,Coahuila de Zaragoza,22,Nava,33129
5,Coahuila de Zaragoza,23,Ocampo,9642
5,Coahuila de Zaragoza,24,Parras,44472
5,Coahuila de Zaragoza,25,Piedras Negras,176327
5,Coahuila de Zaragoza,26,Progreso,3239
5,Coahuila de Zaragoza,27,Ramos Arizpe,122243
5,Coahuila de Zaragoza,28,Sabinas,64811
5,Coahuila de Zaragoza,29,Sacramento,2471
5,Coahuila de Zaragoza,30,Saltillo,879958
5,Coahuila de Zaragoza,31,San Buenaventura,24759
5,Coahuila de Zaragoza,32,San Juan de Sabinas,42260
5,Coahuila de Zaragoza,33,San Pedro,101041
5,Coahuila de Zaragoza,34,Sierra Mojada,6744
5,Coahuila de Zaragoza,35,Torreón,720848
5,Coahuila de Zaragoza,36,Viesca,20305
5,Coahuila de Zaragoza,37,Villa Unión,6188
5,Coahuila de Zaragoza,38,Zaragoza,13135
6,Colima,1,Armería,27626
6,Colima,2,Colima,157048
6,Colima,3,Comala,21661
6,Colima,4,Coquimatlán,20837
6,Colima,5,Cuauhtémoc,31267
6,Colima,6,Ixtlahuacán,5623
6,Colima,7,Manzanillo,191031
6,Colima,8,Minatitlán,10231
6,Colima,9,Tecomán,116305
6,Colima,10,Villa de Álvarez,149762
7,Chiapas,1,Acacoyagua,17994
7,Chiapas,2,Acala,21187
7,Chiapas,3,Acapetahua,26899
7,Chiapas,4,Altamirano,36160
7,Chiapas,5,Amatán,24512
7,Chiapas,6,Amatenango de la Frontera,31735
7,Chiapas,7,Amatenango del Valle,11283
7,Chiapas,8,Angel Albino Corzo,31947
7,Chiapas,9,Arriaga,41135
7,Chiapas,10,Bejucal de Ocampo,7365
7,Chiapas,11,Bella Vista,20157
7,Chiapas,12,Berriozábal,64632
7,Chiapas,13,Bochil,37263
7,Chiapas,14,El Bosque,24273
7,Chiapas,15,Cacahoatán,50112
7,Chiapas,16,Catazajá,17619
7,Chiapas,17,Cintalapa,88106
7,Chiapas,18,Coapilla,9900
7,Chiapas,19,Comitán de Domínguez,166178
7,Chiapas,20,La Concordia,49920
7,Chiapas,21,Copainalá,22192
7,Chiapas,22,Chalchihuitán,21915
7,Chiapas,23,Chamula,101967
7,Chiapas,24,Chanal,13678
7,Chiapas,25,Chapultenango,7472
7,Chiapas,26,Chenalhó,47371
7,Chiapas,27,Chiapa de Corzo,112075
7,Chiapas,28,Chiapilla,6156
7,Chiapas,29,Chicoasén,5402
7,Chiapas,30,Chicomuselo,36785
7,Chiapas,31,Chilón,137262
7,Chiapas,32,Escuintla,30896
7,Chiapas,33,Francisco León,7245
7,Chiapas,34,Frontera Comalapa,80897
7,Chiapas,35,Frontera Hidalgo,14556
7,Chiapas,36,La Grandeza,7701
7,Chiapas,37,Huehuetán,36333
7,Chiapas,38,Huixtán,22975
7,Chiapas,39,Huitiupán,27893
7,Chiapas,40,Huixtla,53242
7,Chiapas,41,La Independencia,46409
7,Chiapas,42,Ixhuatán,11377
7,Chiapas,43,Ixtacomitán,10961
7,Chiapas,44,Ixtapa,28999
7,Chiapas,45,Ixtapangajoya,6284
7,Chiapas,46,Jiquipilas,41063
7,Chiapas,47,Jitotol,24966
7,Chiapas,48,Juárez,21807
