CVE_ENT,ENTIDAD,Pobreza 
01,Aguascalientes,17.06848187
02,Baja California,9.871686006
03,Baja California Sur,10.16824048
04,Campeche,36.74903513
05,Coahuila de Zaragoza,12.38068235
06,Colima,14.97688841
07,Chiapas,65.96821188
08,Chihuahua,15.11280183
09,Ciudad de México,19.72607539
10,Durango,27.88363414
11,Guanajuato,25.99013868
12,Guerrero,58.0610891
13,Hidalgo,35.3090128
14,Jalisco,18.63161049
15,México,31.19603522
16,Michoacán de Ocampo,34.29864484
17,Morelos,35.35653543
18,Nayarit,23.50220959
19,Nuevo León,10.57954461
20,Oaxaca,51.61376461
21,Puebla,43.44276911
22,Querétaro,16.32600991
23,Quintana Roo,17.74685193
24,San Luis Potosí,30.40515038
25,Sinaloa,16.99861002
26,Sonora,14.11426503
27,Tabasco,34.80392718
28,Tamaulipas,20.15319274
29,Tlaxcala,40.80519311
30,Veracruz de Ignacio de la Llave,44.50178839
31,Yucatán,26.64023009
32,Zacatecas,36.42759482
